Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-08T21:18:16.920000Z,2018-01-08T21:18:35.340000Z,687.6468028112862,No
2018-01-08T22:40:34.460000Z,2018-01-08T22:40:51.880000Z,581.9404381620151,No
2018-01-08T22:53:22.460000Z,2018-01-08T22:55:43.540000Z,630.3184104809692,No
2018-01-09T00:24:59.340000Z,2018-01-09T00:25:18.280000Z,1664.0761375324764,No
2018-01-09T02:05:35.680000Z,2018-01-09T02:05:53.480000Z,527.4584692213008,No
2018-01-09T04:28:30.740000Z,2018-01-09T04:29:33.860000Z,705.9470862417324,No
2018-01-09T04:34:16.580000Z,2018-01-09T04:34:39.820000Z,551.1156121962542,No
2018-01-09T15:29:19.600000Z,2018-01-09T15:31:04.360000Z,1139.7251618451533,No
2018-01-09T18:16:54.420000Z,2018-01-09T18:17:08.660000Z,522.0725183920218,No
2018-01-09T18:47:51.160000Z,2018-01-09T18:49:53.120000Z,749.2141138288853,No
2018-01-09T20:30:31.340000Z,2018-01-09T20:31:21.460000Z,1801.5222183272137,No
2018-01-09T21:31:03.320000Z,2018-01-09T21:31:21.660000Z,853.3656154840685,No
2018-01-10T11:06:43.520000Z,2018-01-10T11:07:32.580000Z,562.4875774006503,No
2018-01-10T13:07:07.200000Z,2018-01-10T13:07:31.240000Z,609.1456638128479,No
2018-01-10T13:34:10.660000Z,2018-01-10T13:34:27.280000Z,8432.973061328581,No
2018-01-10T16:53:08.540000Z,2018-01-10T16:53:25.340000Z,627.2718763196584,No
2018-01-10T21:36:13.340000Z,2018-01-10T21:36:32.880000Z,1064.560832202382,No
2018-01-10T23:44:29.920000Z,2018-01-10T23:44:45.800000Z,560.9846163289172,No
2018-01-11T00:27:50.780000Z,2018-01-11T00:28:10.940000Z,831.9770388844853,No
2018-01-11T00:36:09.460000Z,2018-01-11T00:36:24.880000Z,1106.587426718212,No
2018-01-11T07:51:05.840000Z,2018-01-11T07:51:23.840000Z,766.1169730351572,No
2018-01-11T08:06:14.300000Z,2018-01-11T08:06:30.540000Z,1627.1482180314063,No
2018-01-11T10:06:10.360000Z,2018-01-11T10:06:28.120000Z,742.9468839340524,No
2018-01-11T11:11:00.500000Z,2018-01-11T11:11:22.900000Z,2704.174192102251,No
2018-01-11T13:09:20.340000Z,2018-01-11T13:09:36.820000Z,957.1295505451174,No
2018-01-11T13:43:46.580000Z,2018-01-11T13:44:01.920000Z,1132.2726644263466,No
2018-01-11T15:01:41.780000Z,2018-01-11T15:02:04.580000Z,1555.644576090877,Si.
2018-01-11T17:25:47.660000Z,2018-01-11T17:26:08.540000Z,1680.0431318390729,No
2018-01-11T19:10:36.520000Z,2018-01-11T19:10:57.740000Z,1772.5964710487565,No
2018-01-11T19:23:17.120000Z,2018-01-11T19:23:29.660000Z,665.185167608847,No
2018-01-11T20:26:55.960000Z,2018-01-11T20:27:11.380000Z,1340.915433370597,No
2018-01-12T05:36:47.180000Z,2018-01-12T05:37:54.840000Z,595.4529848187459,No
2018-01-12T07:42:04.760000Z,2018-01-12T07:42:23.160000Z,586.0961653616257,No
2018-01-12T07:57:47.980000Z,2018-01-12T08:00:23.400000Z,671.4558642387344,No
2018-01-12T10:42:24.140000Z,2018-01-12T10:42:41.920000Z,756.4477764218498,No
2018-01-12T14:18:28.620000Z,2018-01-12T14:19:01.340000Z,1093.2902377422624,No
2018-01-12T14:51:59.180000Z,2018-01-12T14:52:17.400000Z,503.7003377316637,No
2018-01-12T15:41:46.220000Z,2018-01-12T15:42:02.320000Z,830.7684654273102,No
2018-01-12T15:49:51.620000Z,2018-01-12T15:50:08.780000Z,682.4448324130683,No
2018-01-12T19:25:43.060000Z,2018-01-12T19:26:00.700000Z,818.0809982530192,No
2018-01-12T22:50:59.180000Z,2018-01-12T22:51:22.720000Z,509.2092416160369,No
2018-01-12T22:59:05.120000Z,2018-01-12T22:59:22.380000Z,696.6127714230989,No
2018-01-12T23:38:44.240000Z,2018-01-12T23:38:56.740000Z,666.5562628916443,No
2018-01-12T23:40:09.120000Z,2018-01-12T23:40:21.540000Z,993.7929315497889,No
2018-01-12T23:42:13.840000Z,2018-01-12T23:42:33.360000Z,1344.6402106270787,No
2018-01-13T00:09:19.260000Z,2018-01-13T00:09:39.020000Z,634.7822339276717,No
2018-01-13T05:48:34.360000Z,2018-01-13T05:48:51.100000Z,1112.6290642963036,No
2018-01-13T06:14:55.360000Z,2018-01-13T06:15:57.100000Z,1012.7062242229645,No
2018-01-13T06:39:08.840000Z,2018-01-13T06:39:26.200000Z,2333.554203115532,No
2018-01-13T08:51:06.260000Z,2018-01-13T08:51:21.360000Z,774.1960581729803,No
2018-01-13T10:49:42.120000Z,2018-01-13T10:49:58.980000Z,12336.848545610752,No
2018-01-13T17:18:47.340000Z,2018-01-13T17:19:08.340000Z,553.2915555093405,No
2018-01-13T18:13:48.320000Z,2018-01-13T18:14:08.740000Z,597.5554827506552,No
2018-01-13T18:29:01.760000Z,2018-01-13T18:29:18.940000Z,522.4797806436593,No
2018-01-13T23:08:17.080000Z,2018-01-13T23:08:32.740000Z,562.1326769743192,No
2018-01-14T02:17:42.140000Z,2018-01-14T02:18:06.540000Z,3536.7170000708834,No
2018-01-14T02:42:30.000000Z,2018-01-14T02:42:49.440000Z,749.4215273739823,No
2018-01-14T04:27:29.720000Z,2018-01-14T04:28:21.140000Z,527.4423744285408,No
2018-01-14T05:51:30.280000Z,2018-01-14T05:51:45.540000Z,789.825553866478,No
2018-01-14T08:30:40.720000Z,2018-01-14T08:32:04.000000Z,534.1747354277394,No
2018-01-14T08:51:24.540000Z,2018-01-14T08:51:42.620000Z,923.5610979626576,No
