evol_id,esta_id_estacion,esta_code_estacion,evol_fecha,evol_fk_canal,evol_fecha_evento,evol_fecha_evento_p,evol_fecha_evento_s,evol_s_p,tevo_id_tipo,evol_coda,evol_amplitude_max,evol_amplitude_min,evol_unidad_amplitude,evol_rms,evol_polaridad,evol_peso,evol_frecuencia,evol_fk_estacion_canal,volc_id_volcan,evol_dr_cm2,evol_dr_sm2,evol_magnitud,evol_energia,evol_estado
1638336,97,BREF,1/25/2018 11:41:02,BHZ,1/23/2018 4:10:47,,,0.000000000000000,2,19.000000000000000,1934.664916992187500,-1679.500610351562500,cuentas,0.181026160717010,N,0,2.880859375000000,,62,,,,,1
1638337,97,BREF,1/25/2018 11:41:09,BHZ,1/23/2018 4:19:09,,,0.000000000000000,2,15.000000000000000,285.513793945312500,-193.995239257812500,cuentas,0.560168564319611,N,0,7.421875000000000,,62,,,,,1
1638338,97,BREF,1/25/2018 11:41:30,BHZ,1/23/2018 6:01:35,,,0.000000000000000,2,16.000000000000000,814.761291503906250,-350.808044433593750,cuentas,0.191429927945137,N,0,2.734375000000000,,62,,,,,1
1638339,97,BREF,1/25/2018 11:41:38,BHZ,1/23/2018 6:09:07,,,0.000000000000000,2,13.000000000000000,355.219696044921875,-413.092529296875000,cuentas,0.610508084297180,N,0,5.859375000000000,,62,,,,,1
1638340,97,BREF,1/25/2018 11:42:43,BHZ,1/23/2018 19:50:03,,,0.000000000000000,2,25.000000000000000,6358.365722656250000,-2350.242187500000000,cuentas,0.232877358794212,N,0,6.713867187500000,,62,,,,,1
1638341,97,BREF,1/25/2018 11:44:36,BHZ,1/23/2018 20:20:02,,,0.000000000000000,3,21.000000000000000,2740.995849609375000,-900.138183593750000,cuentas,0.089336059987545,N,0,5.322265625000000,,62,,,,,1
1638342,97,BREF,1/25/2018 11:44:54,BHZ,1/23/2018 22:14:09,,,0.000000000000000,2,12.000000000000000,1014.394104003906250,-670.568176269531250,cuentas,1.471048355102539,N,0,2.783203125000000,,62,,,,,1
1638344,97,BREF,1/25/2018 11:46:11,BHZ,1/24/2018 3:04:12,,,0.000000000000000,2,19.000000000000000,1608.391113281250000,-1077.866210937500000,cuentas,0.069203838706017,N,0,3.955078125000000,,62,,,,,1
1638346,97,BREF,1/25/2018 11:46:38,BHZ,1/24/2018 4:41:23,,,0.000000000000000,2,13.000000000000000,665.308166503906250,-724.799438476562500,cuentas,0.145104989409447,N,0,2.734375000000000,,62,,,,,1
1638347,97,BREF,1/25/2018 11:46:50,BHZ,1/24/2018 5:57:14,,,0.000000000000000,2,14.000000000000000,2192.673339843750000,-1232.133300781250000,cuentas,0.043276324868202,N,0,3.857421875000000,,62,,,,,1
1638348,97,BREF,1/25/2018 11:47:10,BHZ,1/24/2018 6:04:27,,,0.000000000000000,2,16.000000000000000,1319.560668945312500,-630.754882812500000,cuentas,0.132969453930855,N,0,3.857421875000000,,62,,,,,1
1638349,97,BREF,1/25/2018 11:47:29,BHZ,1/24/2018 9:57:59,,,0.000000000000000,2,11.000000000000000,993.706909179687500,-489.079101562500000,cuentas,0.734360218048096,N,0,6.054687500000000,,62,,,,,1
1638350,97,BREF,1/25/2018 11:47:47,BHZ,1/24/2018 12:57:41,,,0.000000000000000,2,10.000000000000000,1858.520507812500000,-872.727600097656250,cuentas,0.041179344058037,N,0,5.468750000000000,,62,,,,,1
1638370,97,BREF,1/25/2018 13:45:36,BHZ,1/18/2018 12:33:41,,,0.000000000000000,1,11.000000000000000,176.692047119140625,-78.300682067871094,cuentas,1.218662261962891,N,0,9.375000000000000,,62,,,,,1
1638563,97,BREF,1/29/2018 10:10:20,BHZ,1/24/2018 14:55:40,,,0.000000000000000,0,13.000000000000000,940.223144531250000,-649.690002441406250,cuentas,0.774291872978210,N,0,0.146484375000000,,62,,,,,1
1638564,97,BREF,1/29/2018 10:14:41,BHZ,1/25/2018 12:27:17,,,0.000000000000000,2,12.000000000000000,1231.275756835937500,-839.270202636718750,cuentas,0.130256369709969,N,0,2.587890625000000,,62,,,,,1
1638565,97,BREF,1/29/2018 10:15:46,BHZ,1/25/2018 12:50:34,,,0.000000000000000,2,12.000000000000000,1683.138793945312500,-1746.747802734375000,cuentas,0.088091030716896,N,0,2.587890625000000,,62,,,,,1
