Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-12T14:51:59.180000Z, 2018-01-12T14:52:17.400000Z
2018-01-12T15:41:46.220000Z, 2018-01-12T15:42:02.320000Z
2018-01-12T15:49:51.620000Z, 2018-01-12T15:50:08.780000Z
2018-01-12T19:25:43.060000Z, 2018-01-12T19:26:00.700000Z
2018-01-12T22:50:59.180000Z, 2018-01-12T22:51:22.720000Z
2018-01-12T22:59:05.120000Z, 2018-01-12T22:59:22.380000Z
2018-01-12T23:36:33.900000Z, 2018-01-12T23:37:22.320000Z
2018-01-12T23:38:44.240000Z, 2018-01-12T23:38:56.740000Z
2018-01-12T23:40:09.120000Z, 2018-01-12T23:40:21.540000Z
2018-01-12T23:42:13.840000Z, 2018-01-12T23:42:33.360000Z
2018-01-13T00:09:19.260000Z, 2018-01-13T00:09:39.020000Z
2018-01-13T05:48:34.360000Z, 2018-01-13T05:48:51.100000Z
2018-01-13T06:14:55.360000Z, 2018-01-13T06:15:57.100000Z
2018-01-13T06:39:08.840000Z, 2018-01-13T06:39:26.200000Z
2018-01-13T08:49:22.460000Z, 2018-01-13T08:50:17.940000Z
2018-01-13T08:51:06.260000Z, 2018-01-13T08:51:21.360000Z
2018-01-13T10:47:47.820000Z, 2018-01-13T10:48:12.600000Z
2018-01-13T10:49:42.120000Z, 2018-01-13T10:49:58.980000Z
2018-01-13T16:00:24.640000Z, 2018-01-13T16:00:46.000000Z
2018-01-13T17:18:47.340000Z, 2018-01-13T17:19:08.340000Z
2018-01-13T18:13:48.320000Z, 2018-01-13T18:14:08.740000Z
2018-01-13T18:29:01.760000Z, 2018-01-13T18:29:18.940000Z
2018-01-13T19:04:10.360000Z, 2018-01-13T19:04:27.600000Z
2018-01-13T23:08:17.080000Z, 2018-01-13T23:08:32.740000Z
2018-01-14T02:16:15.800000Z, 2018-01-14T02:16:36.920000Z
2018-01-14T02:17:42.140000Z, 2018-01-14T02:18:06.540000Z
2018-01-14T02:42:30.000000Z, 2018-01-14T02:42:49.440000Z
2018-01-14T04:27:29.720000Z, 2018-01-14T04:28:21.140000Z
2018-01-14T05:50:46.700000Z, 2018-01-14T05:51:04.340000Z
